Cod_Provincia,Provincia,2009-2010Inicio,2010-2011Inicio,2011-2012Inicio,2012-2013Inicio,2013-2014Inicio,2014-2015Inicio,2015-2016Inicio,2016-2017Inicio,2017-2018Inicio,2018-2019Inicio,2019-2020Inicio,2020-2021Inicio,2021-2022Inicio,2022-2023Inicio
1,AZUAY,200034,203734,212699,215735,221321,224667,224006,223085,221024,222132,216998,210277,207011,205365
2,BOLIVAR,59292,61838,63283,62995,63160,68235,64675,64530,58252,56040,53030,53193,52610,51372
3,CAÃAR,71945,72670,73276,73827,72361,71598,70499,70988,70302,69969,67813,67849,66563,66181
4,CARCHI,45972,46639,47630,49002,48035,48822,45956,45835,44309,43300,42836,43397,42957,41259
5,COTOPAXI,120260,124589,128348,130693,131225,135625,140669,130293,131465,130599,128685,127630,125295,124775
6,CHIMBORAZO,137144,142413,145162,145469,144887,144572,140206,139734,136770,131659,127587,126243,123458,120618
7,EL ORO,172640,177634,182550,186073,188944,194034,187817,187163,185513,182866,179705,179095,180192,179376
8,ESMERALDAS,183636,180029,206019,201044,199472,212790,203065,203484,185714,182002,183202,174627,177752,175933
9,GUAYAS,961491,1014654,1056217,1075075,1132289,1193511,1128495,1127625,1125744,1116388,1103883,1073785,1084895,1107670
10,IMBABURA,120771,122480,126415,131020,131601,139277,131744,133987,131426,131002,128151,128562,126359,123770
11,LOJA,133579,135351,137975,139844,139681,141543,137114,135244,133362,129591,126148,124016,122352,119506
12,LOS RIOS,234018,241996,240381,243311,243062,254944,243777,246684,243448,238589,233887,232120,235555,236876
13,MANABI,398805,405185,424881,422737,425033,434063,437302,424881,415361,417661,409530,406635,405461,410466
14,MORONA SANTIAGO,55965,59041,62477,64177,64593,64112,64123,65355,65782,67657,66730,67512,66069,67909
15,NAPO,41489,42561,43704,45313,47163,49240,50472,45316,43850,44767,43969,43515,43920,42547
16,PASTAZA,31954,34708,37959,41524,42359,38830,39706,38425,37545,36967,37029,36745,36615,36839
17,PICHINCHA,685387,708987,722660,736615,761832,790153,802952,803032,791430,791508,781722,755522,742089,733634
18,TUNGURAHUA,137491,138474,141110,143378,144827,147778,150111,147031,145216,144247,142552,141077,139405,138702
19,ZAMORA CHINCHIPE,33901,35526,36875,37724,36966,37631,36053,36373,35347,34876,34158,34350,34220,33529
20,GALAPAGOS,7177,7153,7456,7540,7588,7753,7549,7570,7643,7830,7507,7246,6902,7147
21,SUCUMBIOS,58124,60391,63843,65763,66840,71440,67280,67249,66079,65621,64735,65539,66407,67624
22,ORELLANA,45855,48906,52210,54646,56784,57710,58628,57122,56245,57332,57072,57165,57154,59144
23,SANTO DOMINGO DE LOS TSACHILAS,112360,117123,123499,125501,128603,133194,135396,134747,148454,147769,145882,141160,138267,139527
24,SANTA ELENA,82918,85693,89883,94003,99154,106506,104763,106374,106332,103300,103779,103656,108160,109482
